id,event_time_utc,symbol,direction,primary_filter,entry_theoretical,sl_theoretical,tp_theoretical,levels_source,sl_multiplier,tp_multiplier,scan_score,final_ai_score,research_score,learning_score,dynamic_threshold,long_score,short_score,tf4h_status,macro_bias,vision_state,vision_approved,image_retained,exact_rejection_reason,window_4h_complete,first_static_hit,first_hit_at,mfe_r_before_exit,mae_r_before_exit,static_exit_r,trailing_approx_exit,trailing_approx_exit_r,hypothetical_pnl_usd_identifiable,verdict_4h
32,2026-06-23T05:30:49Z,SKHYNIXUSDT,SHORT,RSI,1717.73,1777.53276995,1598.1244601,production-defaults-reconstructed,1.5,2,0.826,40,,,,15,90,NEUTRAL,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 20.4,YES,none,,0.89845337,0.21754845,0.01772493,horizon,0.01772493,,FALSE_NEGATIVE_PROFITABLE
34,2026-06-23T05:45:53Z,SKHYNIXUSDT,SHORT,RSI,1706.03,1768.24038395,1581.6092321,production-defaults-reconstructed,1.5,2,0.822,45,,,,15,85,NEUTRAL,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 19.7,YES,none,,0.67561068,0.39720057,0.04340111,horizon,0.04340111,,FALSE_NEGATIVE_PROFITABLE
36,2026-06-23T06:00:51Z,SPCXUSDT,SHORT,RSI,150.8,154.89422,142.61156,production-defaults-reconstructed,1.5,2,0.782,45,,,,0,72,CONFIRMS,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 17.5,YES,none,,0.9598898,0.33950301,0.28821119,horizon,0.28821119,,FALSE_NEGATIVE_PROFITABLE
38,2026-06-23T06:30:50Z,SKHYNIXUSDT,SHORT,RSI,1689.71,1754.11329665,1560.9034067,production-defaults-reconstructed,1.5,2,0.82,61,,,,15,85,NEUTRAL,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 19.6,YES,none,,0.30604023,0.63707919,-0.07949904,horizon,-0.07949904,,CORRECT_REJECTION_LOSS_AVOIDED
40,2026-06-23T06:45:51Z,SPCXUSDT,SHORT,RSI,147.38,151.956149,138.227702,production-defaults-reconstructed,1.5,2,0.856,57,,,,0,72,CONFIRMS,NEUTRAL,LATE_TREND,1,NO,RSI peligroso para SHORT: 14.8,YES,sl,2026-06-23T08:00:00Z,0,1.05110214,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
42,2026-06-23T07:15:55Z,ZECUSDT,SHORT,AI_CONTEXT,427.67,438.45369905,406.1026019,production-defaults-reconstructed,1.5,2,0.773,46,,,,15,95,CONFIRMS,NEUTRAL,LATE_TREND,1,NO,AI rechaza: fallback,YES,none,,1.15822965,0.06954942,0.32827326,horizon,0.32827326,,FALSE_NEGATIVE_PROFITABLE
44,2026-06-23T07:30:50Z,SKHYNIXUSDT,SHORT,SCORE,1726.08,1790.6267616,1596.9864768,production-defaults-reconstructed,1.5,2,0.822,73,,,75,15,90,NEUTRAL,NEUTRAL,LATE_TREND,1,NO,Score insuficiente: 73 < threshold dinámico 75 (macro=NEUTRAL 4h=NEUTRAL intel=SHORT pos=2),YES,none,,0.84868704,0.00170419,0.45006131,horizon,0.45006131,,FALSE_NEGATIVE_PROFITABLE
46,2026-06-23T08:45:55Z,HYPEUSDT,SHORT,AI_CONTEXT,63.359,65.06494108,59.94711785,production-defaults-reconstructed,1.5,2,0.836,60,,,,2,77,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: RSI en sobrevendido (26.77) genera riesgo inmediato de rebote; señal de inteligencia bloqueada por conflicto macro/sesión/noticias reduce confiabilidad del setup.,YES,none,,0.62311648,0.0926175,0.35698771,horizon,0.35698771,,FALSE_NEGATIVE_PROFITABLE
48,2026-06-23T09:00:50Z,ETHUSDT,SHORT,RSI,1647.99,1671.5727369,1600.8245262,production-defaults-reconstructed,1.5,2,1.063,68,,,,15,85,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 18.2,YES,none,,0.03137889,0.63266618,-0.22304451,horizon,-0.22304451,,CORRECT_REJECTION_LOSS_AVOIDED
50,2026-06-23T09:15:49Z,ETHUSDT,SHORT,RSI,1650.18,1674.1158609,1602.3082782,production-defaults-reconstructed,1.5,2,1.062,68,,,,15,85,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 19.7,YES,none,,0.12241047,0.53183798,-0.01921803,horizon,-0.01921803,,CORRECT_REJECTION_LOSS_AVOIDED
52,2026-06-23T09:45:53Z,ETHUSDT,SHORT,RSI,1648.93,1673.09506915,1600.5998617,production-defaults-reconstructed,1.5,2,1.064,68,,,,15,85,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 18.8,YES,none,,0.21808338,0.578521,-0.31740029,horizon,-0.31740029,,CORRECT_REJECTION_LOSS_AVOIDED
54,2026-06-23T10:00:52Z,SOXLUSDT,SHORT,RSI,252.33,263.24201085,230.5059783,production-defaults-reconstructed,1.5,2,0.72,74,,,,10,85,NEUTRAL,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 24.8,YES,none,,1.89332656,0.16403943,0.33907591,sl,0.5,,FALSE_NEGATIVE_PROFITABLE
56,2026-06-23T10:15:51Z,HYPEUSDT,SHORT,AI_CONTEXT,62.754,64.35893355,59.5441329,production-defaults-reconstructed,1.5,2,0.734,37,,,,2,77,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: fallback,YES,none,,0.28537007,0.54644007,-0.42307048,horizon,-0.42307048,,CORRECT_REJECTION_LOSS_AVOIDED
58,2026-06-23T10:30:55Z,SNDKUSDT,SHORT,RSI,2064.11,2123.15386655,1946.0222669,production-defaults-reconstructed,1.5,2,0.791,59,,,,2,87,NEUTRAL,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 23.6,YES,none,,1.84506887,0.82701223,0.69947994,sl,0.5,,FALSE_NEGATIVE_PROFITABLE
60,2026-06-23T10:45:52Z,ETHUSDT,SHORT,RSI,1649.01,1672.48365735,1602.0626853,production-defaults-reconstructed,1.5,2,1.056,62,,,,0,67,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 19.4,YES,none,,0.22791506,0.97939574,-0.57553878,horizon,-0.57553878,,CORRECT_REJECTION_LOSS_AVOIDED
62,2026-06-23T11:00:52Z,WLDUSDT,SHORT,RSI,0.5592,0.57892858,0.51974285,production-defaults-reconstructed,1.5,2,0.737,76,,,,11,81,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 22.7,YES,sl,2026-06-23T13:14:00Z,0.03548153,1.2114407,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
64,2026-06-23T14:45:51Z,SPCXUSDT,SHORT,IMAGE,157.23,163.5600798,144.5698404,production-defaults-reconstructed,1.5,2,0.744,49,,,,15,90,CONFIRMS,BEARISH,MID_TREND,0,NO,"Imagen rechaza: El precio está en recuperación después de una caída severa, mostrando rebotes alcistas con volumen decreciente, no es momento óptimo para corto.",YES,sl,2026-06-23T16:07:00Z,0.24170311,1.00946595,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
66,2026-06-23T15:01:10Z,SNDKUSDT,SHORT,RSI,2004.69,2072.55877995,1868.9524401,production-defaults-reconstructed,1.5,2,0.835,62,,,,15,100,NEUTRAL,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 23.2,YES,none,,0.77384624,0.22558237,0.39782651,horizon,0.39782651,,FALSE_NEGATIVE_PROFITABLE
68,2026-06-23T15:30:54Z,SNDKUSDT,SHORT,RSI,1989.52,2059.9788508,1848.6022984,production-defaults-reconstructed,1.5,2,0.827,46,,,,15,100,NEUTRAL,BEARISH,LATE_TREND,0,NO,RSI peligroso para SHORT: 21.9,YES,none,,0.53009664,0.43259292,0.08714306,horizon,0.08714306,,FALSE_NEGATIVE_PROFITABLE
70,2026-06-24T01:00:46Z,WLDUSDT,SHORT,AI_CONTEXT,0.5377,0.5559361,0.50122781,production-defaults-reconstructed,1.5,2,0.544,55,,,,2,72,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: RSI en sobrevendido (29.67) + señal bloqueada de inteligencia + posición ETHUSDT con PnL negativo y 5x apalancamiento = riesgo de liquidación sistémica.,YES,none,,1.73282707,0.27966513,1.04737333,horizon,1.04737333,,FALSE_NEGATIVE_PROFITABLE
72,2026-06-24T01:15:42Z,REUSDT,SHORT,AI_CONTEXT,0.7338,0.78827364,0.62485271,production-defaults-reconstructed,1.5,2,0.598,47,,,,12,77,NEUTRAL,BEARISH,LATE_TREND,1,NO,AI rechaza: RSI en 29.69 (sobrevendido extremo) genera riesgo alto de rebote mientras posición ETHUSDT está con PnL negativo en 5x apalancamiento.,YES,none,,0.68289907,0.24048327,0.08811601,horizon,0.08811601,,FALSE_NEGATIVE_PROFITABLE
74,2026-06-24T01:30:45Z,SOXLUSDT,SHORT,IMAGE,241.49,254.6681093,215.1337814,production-defaults-reconstructed,1.5,2,0.557,60,,,,2,87,CONFIRMS,BEARISH,MID_TREND,0,NO,"Chart MID_TREND + imagen rechaza: El precio está en una fase de consolidación después de una caída fuerte, sin confirmación de reversión bajista clara para un corto de alto riesgo.",YES,none,,1.06995622,0.15176684,0.24055044,horizon,0.24055044,,FALSE_NEGATIVE_PROFITABLE
76,2026-06-24T01:45:44Z,REUSDT,SHORT,AI_CONTEXT,0.736,0.79047136,0.62705728,production-defaults-reconstructed,1.5,2,0.598,47,,,,12,77,NEUTRAL,BEARISH,LATE_TREND,1,NO,"AI rechaza: RSI en sobrevendido (29.98) genera riesgo alto de rebote inmediato, combinado con señal de NO OPERAR por conflicto de inteligencia y noticia prioritaria sin confirmación de sesión.",YES,none,,0.72331589,0.4130611,0.06425395,horizon,0.06425395,,FALSE_NEGATIVE_PROFITABLE
78,2026-06-24T02:00:44Z,LABUSDT,SHORT,4H,13.867,14.70921225,12.18257551,production-defaults-reconstructed,1.5,2,0.593,31,,,81,16,86,CONTRADICTS,BEARISH,LATE_TREND,1,NO,4h contradice 1h (LONG vs SHORT) score=31 < threshold 81,YES,sl,2026-06-24T02:48:00Z,0.27190296,1.17666302,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
80,2026-06-24T02:15:41Z,WLDUSDT,SHORT,AI_CONTEXT,0.5275,0.54671946,0.48906107,production-defaults-reconstructed,1.5,2,0.593,45,,,,15,85,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: fallback,YES,none,,1.11345466,0.95736288,-0.15609177,sl,0.02744614,,CORRECT_REJECTION_LOSS_AVOIDED
82,2026-06-24T02:30:42Z,SYNUSDT,LONG,IMAGE,0.3104,0.27430669,0.38258662,production-defaults-reconstructed,1.5,2,0.604,44,,,,69,2,CONFIRMS,BEARISH,LATE_TREND,0,NO,LATE_TREND bloqueado — score=77 vol=0.99x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,none,,0.14130042,0.71619917,-0.55079456,horizon,-0.55079456,,CORRECT_REJECTION_LOSS_AVOIDED
84,2026-06-24T03:00:42Z,SKHYNIXUSDT,SHORT,IMAGE,1623.14,1692.0909872,1485.2380256,production-defaults-reconstructed,1.5,2,0.665,77,,,,15,95,NEUTRAL,BEARISH,MID_TREND,0,NO,"Imagen rechaza: El precio está en recuperación después de una caída fuerte, mostrando rebote en zona de soporte sin confirmación de reversión bajista clara.",YES,sl,2026-06-24T05:11:00Z,0.23901036,1.05669263,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
86,2026-06-24T03:15:42Z,HYPEUSDT,SHORT,AI_CONTEXT,60.698,62.11104944,57.87190112,production-defaults-reconstructed,1.5,2,0.642,32,,,,0,72,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: fallback,YES,sl,2026-06-24T05:24:00Z,0.18399922,1.01058035,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
88,2026-06-24T03:45:42Z,SOXLUSDT,SHORT,IMAGE,233.36,246.9170492,206.2459016,production-defaults-reconstructed,1.5,2,0.531,77,,,,0,82,CONFIRMS,BEARISH,EARLY_TREND,0,NO,"Chart EARLY_TREND + imagen rechaza: El precio está en una fase de recuperación temprana después de una caída fuerte, mostrando rebotes alcistas con volumen decreciente, no hay señales claras de reversión bajista.",YES,none,,0.36217321,0.6520593,-0.38503954,horizon,-0.38503954,,CORRECT_REJECTION_LOSS_AVOIDED
90,2026-06-24T04:00:41Z,WLDUSDT,SHORT,RSI,0.5175,0.53570306,0.48109387,production-defaults-reconstructed,1.5,2,0.731,83,,,,11,81,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 23.0,YES,sl,2026-06-24T05:27:00Z,0.62626824,1.38987602,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
92,2026-06-24T04:15:41Z,WLDUSDT,SHORT,RSI,0.5174,0.53599536,0.48020929,production-defaults-reconstructed,1.5,2,0.729,64,,,,11,81,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 23.0,YES,sl,2026-06-24T05:27:00Z,0.60767861,1.36593244,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
94,2026-06-24T04:30:46Z,HYPEUSDT,SHORT,AI_CONTEXT,61.005,62.42794163,58.15911675,production-defaults-reconstructed,1.5,2,0.768,73,,,,10,90,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: Señal de inteligencia bloqueada + RSI en sobrevendido (30.05) generan riesgo de rebote violento que invalida el setup.,YES,sl,2026-06-24T05:38:00Z,0.08081849,1.01269088,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
96,2026-06-24T04:45:44Z,SKHYNIXUSDT,SHORT,AI_CONTEXT,1638.9,1711.4950755,1493.709849,production-defaults-reconstructed,1.5,2,0.655,65,,,,15,95,NEUTRAL,BEARISH,LATE_TREND,1,NO,AI rechaza: Señal de inteligencia bloqueada + noticia crítica de Bitcoin por debajo de $60K generan conflicto fundamental que invalida la operación.,YES,sl,2026-06-24T05:18:00Z,0.02947858,1.00791961,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
98,2026-06-24T05:00:41Z,SOXLUSDT,SHORT,IMAGE,236.79,249.4558971,211.4582058,production-defaults-reconstructed,1.5,2,0.588,81,,,,0,82,CONFIRMS,BEARISH,EARLY_TREND,0,NO,"Chart EARLY_TREND + imagen rechaza: El precio está recuperándose desde mínimos recientes con señales de compra, no es momento óptimo para vender en corto.",YES,none,,0.06631982,0.64424967,-0.39712939,horizon,-0.39712939,,CORRECT_REJECTION_LOSS_AVOIDED
100,2026-06-24T05:15:41Z,WLDUSDT,SHORT,AI_CONTEXT,0.5297,0.54937306,0.49035388,production-defaults-reconstructed,1.5,2,0.562,50,,,,11,86,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: fallback,YES,none,,0.55914032,0.8234612,-0.06608022,horizon,-0.06608022,,CORRECT_REJECTION_LOSS_AVOIDED
102,2026-06-24T08:45:42Z,SPCXUSDT,SHORT,IMAGE,158.42,162.6165458,150.0269084,production-defaults-reconstructed,1.5,2,0.748,40,,,,7,62,CONFIRMS,BEARISH,MID_TREND,0,NO,"Chart MID_TREND + imagen rechaza: El precio está en recuperación después de una caída significativa, mostrando rebotes alcistas con volumen moderado que sugieren resistencia a la baja.",YES,none,,1.24149723,0,1.17000987,horizon,1.17000987,,FALSE_NEGATIVE_PROFITABLE
104,2026-06-24T09:00:43Z,LABUSDT,LONG,IMAGE,16.472,15.35445716,18.70708568,production-defaults-reconstructed,1.5,2,0.671,55,,,,100,10,CONFIRMS,BEARISH,LATE_TREND,0,NO,"Imagen rechaza: El precio ha caído un 3.36% en la última hora y muestra debilidad después de rechazos en niveles de resistencia, con volumen decreciente indicando falta de presión compradora.",YES,none,,0.50020454,0.43935676,0.38656236,horizon,0.38656236,,FALSE_NEGATIVE_PROFITABLE
106,2026-06-24T09:15:42Z,REUSDT,SHORT,AI_CONTEXT,0.722,0.76611059,0.63377882,production-defaults-reconstructed,1.5,2,0.488,47,,,,7,77,NEUTRAL,BEARISH,LATE_TREND,1,NO,AI rechaza: RSI extremadamente sobrevendido (31.65) genera riesgo alto de rebote; señal de inteligencia bloqueada + presión en ETHUSDT con 5x leverage activo crean conflicto crítico.,YES,none,,0.39899716,0.48514427,0.20176561,horizon,0.20176561,,FALSE_NEGATIVE_PROFITABLE
108,2026-06-24T09:45:42Z,WLDUSDT,SHORT,AI_CONTEXT,0.5277,0.54854151,0.48601698,production-defaults-reconstructed,1.5,2,0.474,60,,,,0,77,CONFIRMS,BEARISH,LATE_TREND,1,NO,AI rechaza: Señal bloqueada por inteligencia + posición ETHUSDT en rojo con 5x apalancamiento genera conflicto de capital y presión psicológica.,YES,sl,2026-06-24T12:29:00Z,0.21591524,1.05078751,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
110,2026-06-24T10:00:41Z,SKHYNIXUSDT,SHORT,RANGING,1734.15,1798.452282,1605.545436,production-defaults-reconstructed,1.5,2,0.499,37,,,,7,67,NEUTRAL,BEARISH,LATE_TREND,1,NO,Ranging + score bajo (37),YES,none,,1.08565354,0.18864027,0.73014516,horizon,0.73014516,,FALSE_NEGATIVE_PROFITABLE
112,2026-06-24T10:15:42Z,BEATUSDT,LONG,IMAGE,2.198,1.95900047,2.67599906,production-defaults-reconstructed,1.5,2,0.579,4,,,,54,2,NEUTRAL,BEARISH,LATE_TREND,0,NO,LATE_TREND bloqueado — score=49 vol=1.14x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,sl,2026-06-24T11:48:00Z,0.20460291,1.09205236,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
114,2026-06-24T10:30:41Z,LABUSDT,LONG,IMAGE,16.595,15.43177347,18.92145305,production-defaults-reconstructed,1.5,2,0.515,55,,,,92,2,CONFIRMS,BEARISH,LATE_TREND,0,NO,LATE_TREND bloqueado — score=100 vol=0.97x (necesita score>=90+vol>=1.2x o score>=85+vol>=1.5x),YES,none,,1.03591173,0.41866308,0.98261171,horizon,0.98261171,,FALSE_NEGATIVE_PROFITABLE
116,2026-06-24T10:45:42Z,REUSDT,SHORT,SCORE,0.7204,0.76305128,0.63509744,production-defaults-reconstructed,1.5,2,0.458,66,,,69,7,77,NEUTRAL,BEARISH,LATE_TREND,1,NO,Score insuficiente: 66 < threshold dinámico 69 (macro=BEARISH 4h=NEUTRAL intel=SHORT pos=2),YES,none,,1.65059517,0.53925694,1.11133822,horizon,1.11133822,,FALSE_NEGATIVE_PROFITABLE
118,2026-06-24T12:00:49Z,SPCXUSDT,SHORT,IMAGE,155.45,159.1108475,148.128305,production-defaults-reconstructed,1.5,2,0.497,91,,,,10,95,CONFIRMS,BEARISH,MID_TREND,0,NO,"Imagen rechaza: El precio está en consolidación lateral sin confirmación clara de reversión bajista, faltaría una ruptura por debajo del soporte en 155 para una entrada corta confiable.",YES,sl,2026-06-24T15:18:00Z,1.27292929,1.18278623,-1,sl,0.04246285,,CORRECT_REJECTION_LOSS_AVOIDED
120,2026-06-24T12:45:42Z,LABUSDT,LONG,IMAGE,16.806,15.62747925,19.1630415,production-defaults-reconstructed,1.5,2,0.562,41,,,,100,15,CONFIRMS,BEARISH,LATE_TREND,0,NO,"Imagen rechaza: El precio está en una fase de corrección después de un rally fuerte, con resistencia clara en 16.794 y señales de debilidad en el volumen.",YES,tp,2026-06-24T15:59:00Z,2.02711747,0.17140131,2,tp,2,,FALSE_NEGATIVE_PROFITABLE
122,2026-06-24T13:30:41Z,SPCXUSDT,SHORT,IMAGE,154.34,158.3497532,146.3204936,production-defaults-reconstructed,1.5,2,0.648,75,,,,15,100,CONFIRMS,BEARISH,MID_TREND,0,NO,"Imagen rechaza: El precio está en zona de soporte con recuperación de compra reciente, sin confirmación clara de reversión bajista.",YES,sl,2026-06-24T14:25:00Z,0.88534127,1.01253115,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
124,2026-06-24T15:00:43Z,SNDKUSDT,SHORT,IMAGE,1954.35,2009.78513775,1843.4797245,production-defaults-reconstructed,1.5,2,0.642,65,,,,15,100,CONFIRMS,BEARISH,EARLY_TREND,0,NO,"Imagen rechaza: El precio está en una fase de recuperación temprana después de una caída fuerte, con señales de rebote alcista que desaconsejan una posición corta en este momento.",YES,none,,1.5636292,0,1.34896391,horizon,1.34896391,,FALSE_NEGATIVE_PROFITABLE
126,2026-06-24T17:00:43Z,BTCUSDT,SHORT,RSI,59768.2,60532.037596,58240.524808,production-defaults-reconstructed,1.5,2,0.979,61,,,,15,85,CONFIRMS,BEARISH,LATE_TREND,0,NO,RSI peligroso para SHORT: 19.6,YES,sl,2026-06-24T20:06:00Z,0.92716044,1.24398171,-1,sl,-1,,CORRECT_REJECTION_LOSS_AVOIDED
128,2026-06-24T17:15:43Z,DOGEUSDT,SHORT,RSI,0.0742,0.07554673,0.07150654,production-defaults-reconstructed,1.5,2,0.75,49,,,,15,85,CONFIRMS,BEARISH,LATE_TREND,1,NO,RSI peligroso para SHORT: 16.3,YES,sl,2026-06-24T20:32:00Z,1.06925664,1.01727889,-1,sl,0.05509642,,CORRECT_REJECTION_LOSS_AVOIDED
